Neighborhood_NAmes,BldgType_TwnhsE,HouseStyle_1.5Unf,SaleCondition_Abnorml,Exterior2nd_CmentBd,GarageFinish,Exterior2nd_AsbShng,RoofMatl_WdShngl,Foundation_Slab,RoofMatl_Tar&Grv,BsmtFullBath,MasVnrType_None,MSSubClass_45,GarageType_Basment,MasVnrType_Stone,Condition1_RRNn,HouseStyle_2Story,KitchenAbvGr,BldgType_Twnhs,SaleCondition_Alloca,Exterior1st_MetalSd,Neighborhood_Somerst,FullBath,CentralAir,3SsnPorch,Exterior2nd_Brk Cmn,MSSubClass_190,Heating_Grav,MoSold_4,Foundation_CBlock,Foundation_Wood,Condition1_Artery,WoodDeckSF,Exterior2nd_Wd Sdng,Neighborhood_Gilbert,HeatingQC,GarageQual,Condition2_PosA,LandSlope,HalfBath,Neighborhood_Edwards,Exterior2nd_VinylSd,Exterior1st_HdBoard,Exterior2nd_BrkFace,BsmtFinType2,MSZoning_RM,HouseStyle_SFoyer,ExterQual,TotRmsAbvGrd,Foundation_BrkTil,Neighborhood_Crawfor,OpenPorchSF,Neighborhood_NPkVill,MSZoning_RH,MoSold_7,ScreenPorch,BldgType_1Fam,Electrical_SBrkr,Heating_GasW,Exterior2nd_AsphShn,BsmtFinType1,MSSubClass_50,Neighborhood_NoRidge,MiscVal,Electrical_FuseP,GarageCond,BsmtHalfBath,SaleType_CWD,Utilities,MSSubClass_85,Electrical_FuseA,Exterior1st_BrkFace,Neighborhood_OldTown,SaleType_WD,Exterior1st_CemntBd,Exterior2nd_Stone,MSSubClass_40,LotShape,Foundation_PConc,Exterior1st_Stucco,Neighborhood_Veenker,MasVnrType_BrkFace,MSSubClass_75,EnclosedPorch,PoolArea,SaleType_ConLw,MSSubClass_60,HouseStyle_1Story,Condition2_Artery,Neighborhood_Blmngtn,Exterior2nd_Wd Shng,BsmtUnfSF,Neighborhood_IDOTRR,MoSold_11,SaleType_Con,LotArea,Condition1_Feedr,MSSubClass_20,Condition1_RRAn,MSZoning_FV,Neighborhood_MeadowV,Neighborhood_Sawyer,MoSold_5,MoSold_6,Neighborhood_CollgCr,2ndFlrSF,KitchenQual,BsmtExposure,Exterior1st_Plywood,Exterior2nd_Stucco,Condition1_Norm,1stFlrSF,BldgType_2fmCon,Exterior1st_VinylSd,Neighborhood_SawyerW,TotalBsmtSF,Condition2_Feedr,Exterior2nd_MetalSd,BsmtFinSF1,Exterior2nd_ImStucc,Exterior1st_CBlock,MasVnrArea,Exterior2nd_Plywood,BsmtFinSF2,ExterCond,MSSubClass_80,SaleCondition_AdjLand,SaleType_New,SaleType_Oth,MoSold_8,Exterior1st_Wd Sdng,MoSold_1,Foundation_Stone,Condition2_PosN,Exterior1st_BrkComm,BedroomAbvGr,YearBuilt,Electrical_FuseF,YearRemodAdd,Heating_GasA,GarageType_BuiltIn,Condition1_RRNe,HouseStyle_1.5Fin,Neighborhood_BrDale,MSZoning_RL,FireplaceQu,SaleCondition_Family,Condition1_RRAe,HouseStyle_SLvl,Neighborhood_NWAmes,MoSold_10,Id,SaleCondition_Normal,Neighborhood_Mitchel,Neighborhood_BrkSide,RoofMatl_CompShg,SaleType_ConLI,OverallCond,GarageType_2Types,GarageType_CarPort,GarageArea,Exterior1st_AsphShn,BsmtCond,SaleType_ConLD,MoSold_9,Neighborhood_ClearCr,GarageYrBlt,MasVnrType_BrkCmn,SaleCondition_Partial,GarageCars,MSSubClass_70,LotFrontage,BsmtQual,MSSubClass_120,BldgType_Duplex,Neighborhood_Timber,MSSubClass_180,Neighborhood_SWISU,RoofMatl_WdShake,Condition1_PosN,GrLivArea,MoSold_2,Exterior1st_WdShing,GarageType_Attchd,MSSubClass_90,SaleType_COD,Neighborhood_StoneBr,Fireplaces,Condition1_PosA,Exterior2nd_CBlock,HouseStyle_2.5Unf,Exterior2nd_HdBoard,MSZoning_C (all),Exterior1st_AsbShng,MoSold_12,MoSold_3,GarageType_Detchd,Condition2_Norm,MSSubClass_160,Neighborhood_NridgHt,GarageType_NA,Neighborhood_Blueste,LowQualFinSF,OverallQual,Heating_Wall,MSSubClass_30,SalePrice
0,0,0,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0.6,0,1.0,1.0,0,1,0,0,0.16666666666666666,0,0,0.75,8.0,0,0,61.0,0,0,0,0,1,1,0,0,1.0,0,0,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,150.0,0,0,0,8450.0,0,0,0,0,0,0,0,0,1,854.0,0.75,0.25,0,0,1,856.0,0,1,0,856.0,0,0,706.0,0,0,196.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3.0,2003.0,0,2003.0,1,0,0,0,0,1,0.0,0,0,0,0,0,1,1,0,0,1,0,0.4444444444444444,0,0,548.0,0,0.6,0,0,0,2003.0,0,0,2.0,0,65.0,0.8,0,0,0,0,0,0,0,1710.0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0,0,208500.0
0,0,0,0,0,0.6666666666666666,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,1,0,2.0,1.0,0,0,0,0,0,1,0,0,298.0,0,0,1.0,0.6,0,1.0,0.0,0,0,0,0,0.16666666666666666,0,0,0.5,6.0,0,0,0.0,0,0,0,0,1,1,0,0,0.8333333333333334,0,0,0,0,0.6,1,0,1.0,0,0,0,0,1,0,0,0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,284.0,0,0,0,9600.0,1,1,0,0,0,0,1,0,0,0.0,0.5,1.0,0,0,0,1262.0,0,0,0,1262.0,0,1,978.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3.0,1976.0,0,1976.0,1,0,0,0,0,1,0.6,0,0,0,0,0,2,1,0,0,1,0,0.7777777777777778,0,0,460.0,0,0.6,0,0,0,1976.0,0,0,2.0,0,80.0,0.8,0,0,0,0,0,0,0,1262.0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5555555555555556,0,0,181500.0
0,0,0,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0.6,0,1.0,1.0,0,1,0,0,0.16666666666666666,0,0,0.75,6.0,0,0,42.0,0,0,0,0,1,1,0,0,1.0,0,0,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,0,0,0,434.0,0,0,0,11250.0,0,0,0,0,0,0,0,0,1,866.0,0.75,0.5,0,0,1,920.0,0,1,0,920.0,0,0,486.0,0,0,162.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3.0,2001.0,0,2002.0,1,0,0,0,0,1,0.6,0,0,0,0,0,3,1,0,0,1,0,0.4444444444444444,0,0,608.0,0,0.6,0,1,0,2001.0,0,0,2.0,0,68.0,0.8,0,0,0,0,0,0,0,1786.0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0,0,223500.0
0,0,0,1,0,0.3333333333333333,0,0,0,0,1.0,1,0,0,0,0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.75,0.6,0,1.0,0.0,0,0,0,0,0.16666666666666666,0,0,0.5,7.0,1,1,35.0,0,0,0,0,1,1,0,0,0.8333333333333334,0,0,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,0.6666666666666666,0,0,0,0,0,272,0,0,0,0,0,0,1,540.0,0,0,0,9550.0,0,0,0,0,0,0,0,0,0,756.0,0.75,0.25,0,0,1,961.0,0,0,0,756.0,0,0,216.0,0,0,0.0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,3.0,1915.0,0,1970.0,1,0,0,0,0,1,0.8,0,0,0,0,0,4,0,0,0,1,0,0.4444444444444444,0,0,642.0,0,0.8,0,0,0,1998.0,0,0,3.0,1,60.0,0.6,0,0,0,0,0,0,0,1717.0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6666666666666666,0,0,140000.0
0,0,0,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,192.0,0,0,1.0,0.6,0,1.0,1.0,0,1,0,0,0.16666666666666666,0,0,0.75,9.0,0,0,84.0,0,0,0,0,1,1,0,0,1.0,0,1,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,0,0,0,490.0,0,0,0,14260.0,0,0,0,0,0,0,0,0,0,1053.0,0.75,0.75,0,0,1,1145.0,0,1,0,1145.0,0,0,655.0,0,0,350.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4.0,2000.0,0,2000.0,1,0,0,0,0,1,0.6,0,0,0,0,0,5,1,0,0,1,0,0.4444444444444444,0,0,836.0,0,0.6,0,0,0,2000.0,0,0,3.0,0,84.0,0.8,0,0,0,0,0,0,0,2198.0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.7777777777777778,0,0,250000.0
0,0,0,0,0,0.3333333333333333,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,320,0,0,0,0,0,1,0,40.0,0,0,1.0,0.6,0,1.0,1.0,0,1,0,0,0.16666666666666666,0,0,0.5,5.0,0,0,30.0,0,0,0,0,1,1,0,0,1.0,1,0,700,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,0,14115.0,0,0,0,0,0,0,0,0,0,566.0,0.5,0.25,0,0,1,796.0,0,1,0,796.0,0,0,732.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.0,1993.0,0,1995.0,1,0,0,1,0,1,0.0,0,0,0,0,1,6,1,1,0,1,0,0.4444444444444444,0,0,480.0,0,0.6,0,0,0,1993.0,0,0,2.0,0,85.0,0.8,0,0,0,0,0,0,0,1362.0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4444444444444444,0,0,143000.0
0,0,0,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,1,0,0,1,0,0,0,1,2.0,1.0,0,0,0,0,0,0,0,0,255.0,0,0,1.0,0.6,0,1.0,0.0,0,1,0,0,0.16666666666666666,0,0,0.75,7.0,0,0,57.0,0,0,0,0,1,1,0,0,1.0,0,0,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,317.0,0,0,0,10084.0,0,1,0,0,0,0,0,0,0,0.0,0.75,0.75,0,0,1,1694.0,0,1,0,1686.0,0,0,1369.0,0,0,186.0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,3.0,2004.0,0,2005.0,1,0,0,0,0,1,0.8,0,0,0,0,0,7,1,0,0,1,0,0.4444444444444444,0,0,636.0,0,0.6,0,0,0,2004.0,0,0,2.0,0,75.0,1.0,0,0,0,0,0,0,0,1694.0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7777777777777778,0,0,307000.0
0,0,0,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,1,0,1,1,0,0,0,0,2.0,1.0,0,0,0,0,0,1,0,0,235.0,0,0,1.0,0.6,0,1.0,1.0,0,0,1,0,0.6666666666666666,0,0,0.5,7.0,0,0,204.0,0,0,0,0,1,1,0,0,0.8333333333333334,0,0,350,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,0.6666666666666666,0,0,0,0,0,228,0,0,1,0,0,0,0,216.0,0,1,0,10382.0,0,0,0,0,0,0,0,0,0,983.0,0.5,0.5,0,0,0,1107.0,0,0,0,1107.0,0,0,859.0,0,0,240.0,0,32,0.5,0,0,0,0,0,0,0,0,0,0,3.0,1973.0,0,1973.0,1,0,0,0,0,1,0.6,0,0,0,1,0,8,1,0,0,1,0,0.5555555555555556,0,0,484.0,0,0.6,0,0,0,1973.0,0,0,2.0,0,34.30881959279865,0.8,0,0,0,0,0,0,1,2090.0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0,0,200000.0
0,0,0,1,0,0.3333333333333333,0,0,0,0,0.0,1,0,0,0,0,0,2,0,0,0,0,2.0,1.0,0,0,0,0,1,0,0,1,90.0,0,0,0.75,0.4,0,1.0,0.0,0,0,0,0,0.16666666666666666,1,0,0.5,8.0,1,0,0.0,0,0,0,0,1,0,0,0,0.16666666666666666,1,0,0,0,0.6,0,0,1.0,0,0,1,1,1,0,0,0,1.0,0,0,0,0,0,205,0,0,0,0,0,0,1,952.0,0,0,0,6120.0,0,0,0,0,0,0,0,0,0,752.0,0.5,0.25,0,0,0,1022.0,0,0,0,952.0,0,0,0.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.0,1931.0,1,1950.0,1,0,0,1,0,0,0.6,0,0,0,0,0,9,0,0,0,1,0,0.4444444444444444,0,0,468.0,0,0.6,0,0,0,1931.0,0,0,2.0,0,51.0,0.6,0,0,0,0,0,0,0,1774.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6666666666666666,0,0,129900.0
0,0,1,0,0,0.6666666666666666,0,0,0,0,1.0,1,0,0,0,0,0,2,0,0,1,0,1.0,1.0,0,0,1,0,0,0,0,1,0.0,0,0,1.0,0.8,0,1.0,0.0,0,0,0,0,0.16666666666666666,0,0,0.5,5.0,1,0,4.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0.6,0,0,1.0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,140.0,0,0,0,7420.0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.25,0,0,0,1077.0,1,0,0,991.0,0,1,851.0,0,0,0.0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,2.0,1939.0,0,1950.0,1,0,0,0,0,1,0.6,0,0,0,0,0,10,1,0,1,1,0,0.5555555555555556,0,0,205.0,0,0.6,0,0,0,1939.0,0,0,1.0,0,50.0,0.6,0,0,0,0,0,0,0,1077.0,0,0,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,0,118000.0
